Date,Country,Exchange rate
1987-06-22,Australia,1.3863856924996534
1987-06-23,Australia,1.3956734124214933
1987-06-24,Australia,1.3941168269901016
1987-06-25,Australia,1.3885031935573453
1987-06-26,Australia,1.3906271728549577
1987-06-29,Australia,1.3873473917869035
1987-06-30,Australia,1.3871549452073797
1987-07-01,Australia,1.3871549452073797
1987-07-02,Australia,1.3888888888888888
1987-07-03,Australia,1.3917884481558802
1987-07-06,Australia,1.404297149276787
1987-07-07,Australia,1.4285714285714286
1987-07-08,Australia,1.4166312508853947
1987-07-09,Australia,1.409046075806679
1987-07-10,Australia,1.4130281192595733
1987-07-13,Australia,1.4134275618374559
1987-07-14,Australia,1.4144271570014144
1987-07-15,Australia,1.4084507042253522
1987-07-16,Australia,1.405283867341203
1987-07-17,Australia,1.4088475626937165
1987-07-20,Australia,1.4150275930380642
1987-07-21,Australia,1.4114326040931544
1987-07-22,Australia,1.4078558355624384
1987-07-23,Australia,1.408649105507818
1987-07-24,Australia,1.4132278123233466
1987-07-27,Australia,1.4214641080312722
1987-07-28,Australia,1.4295925661186561
1987-07-29,Australia,1.4326647564469914
1987-07-30,Australia,1.4316392269148175
1987-07-31,Australia,1.4322543683758235
1987-08-03,Australia,1.4279594459517349
1987-08-04,Australia,1.4308198597796538
1987-08-05,Australia,1.4249073810202337
1987-08-06,Australia,1.4300014300014299
1987-08-07,Australia,1.429796968830426
1987-08-10,Australia,1.4336917562724014
1987-08-11,Australia,1.4251104460595696
1987-08-12,Australia,1.4234875444839858
1987-08-13,Australia,1.4188422247446084
1987-08-14,Australia,1.411631846414455
1987-08-17,Australia,1.4068655036578503
1987-08-18,Australia,1.3964530093562353
1987-08-19,Australia,1.4098406880022556
1987-08-20,Australia,1.4108352144469527
1987-08-21,Australia,1.4039028499227852
1987-08-24,Australia,1.3978194017332959
1987-08-25,Australia,1.4015416958654519
1987-08-26,Australia,1.404494382022472
1987-08-27,Australia,1.4048890137679124
1987-08-28,Australia,1.4054813773717498
1987-08-31,Australia,1.3995801259622114
1987-09-01,Australia,1.3931457230426303
1987-09-02,Australia,1.3873473917869035
1987-09-03,Australia,1.3848497438027976
1987-09-04,Australia,1.3823610727121924
1987-09-07,Australia,
1987-09-08,Australia,1.3740038472107723
1987-09-09,Australia,1.3723068478111706
1987-09-10,Australia,1.375515818431912
1987-09-11,Australia,1.3689253935660506
1987-09-14,Australia,1.3743815283122593
1987-09-15,Australia,1.3709898546750754
1987-09-16,Australia,1.364442625187611
1987-09-17,Australia,1.3635124079629124
1987-09-18,Australia,1.3610997686130393
1987-09-21,Australia,1.3581420616596498
1987-09-22,Australia,1.36518771331058
1987-09-23,Australia,1.3657470636438132
1987-09-24,Australia,1.3726835964310227
1987-09-25,Australia,1.3802622498274673
1987-09-28,Australia,1.3738150844896277
1987-09-29,Australia,1.394700139470014
1987-09-30,Australia,1.4108352144469527
1987-10-01,Australia,1.4084507042253522
1987-10-02,Australia,1.4009526478005043
1987-10-05,Australia,1.4001680201624196
1987-10-06,Australia,1.3933398355858995
1987-10-07,Australia,1.381788033715628
1987-10-08,Australia,1.38217000691085
1987-10-09,Australia,1.3804527885146327
1987-10-12,Australia,
1987-10-13,Australia,1.3848497438027976
1987-10-14,Australia,1.3827433628318584
1987-10-15,Australia,1.3743815283122593
1987-10-16,Australia,1.3869625520110958
1987-10-19,Australia,1.3844662882458811
1987-10-20,Australia,1.397624039133473
1987-10-21,Australia,1.4015416958654519
1987-10-22,Australia,1.3978194017332959
1987-10-23,Australia,1.3962580284836639
1987-10-26,Australia,1.4154281670205238
1987-10-27,Australia,1.4322543683758235
1987-10-28,Australia,1.455604075691412
1987-10-29,Australia,1.4936519790888723
1987-10-30,Australia,1.4925373134328357
1987-11-02,Australia,1.4788524105294292
1987-11-03,Australia,1.4920919128618322
1987-11-04,Australia,1.4854426619132501
1987-11-05,Australia,1.4803849000740192
1987-11-06,Australia,1.4624159110851127
1987-11-09,Australia,1.4641288433382136
1987-11-10,Australia,1.4716703458425313
1987-11-11,Australia,
1987-11-12,Australia,1.465201465201465
1987-11-13,Australia,1.458151064450277
1987-11-16,Australia,1.4570887367040652
1987-11-17,Australia,1.4353380221042056
1987-11-18,Australia,1.4398848092152627
1987-11-19,Australia,1.4405070584845865
1987-11-20,Australia,1.4503263234227701
1987-11-23,Australia,1.4647722279185587
1987-11-24,Australia,1.4524328249818446
1987-11-25,Australia,1.4448779078167895
1987-11-26,Australia,
1987-11-27,Australia,1.4405070584845865
1987-11-30,Australia,1.4184397163120568
1987-12-01,Australia,1.4184397163120568
1987-12-02,Australia,1.4232849416453175
1987-12-03,Australia,1.42571998859424
1987-12-04,Australia,1.4361625736033319
1987-12-07,Australia,1.4343086632243258
1987-12-08,Australia,1.4320492624946297
1987-12-09,Australia,1.4236902050113895
1987-12-10,Australia,1.414827391058291
1987-12-11,Australia,1.4011489421325487
1987-12-14,Australia,1.392757660167131
1987-12-15,Australia,1.4031149151115476
1987-12-16,Australia,1.397624039133473
1987-12-17,Australia,1.3950892857142858
1987-12-18,Australia,1.4035087719298245
1987-12-21,Australia,1.4035087719298245
1987-12-22,Australia,1.4015416958654519
1987-12-23,Australia,1.4027212792818067
1987-12-24,Australia,1.3995801259622114
1987-12-25,Australia,
1987-12-28,Australia,1.392757660167131
1987-12-29,Australia,1.386001386001386
1987-12-30,Australia,1.3906271728549577
1987-12-31,Australia,1.3850415512465375
1988-01-01,Australia,
1988-01-04,Australia,1.3865779256794233
1988-01-05,Australia,1.409443269908386
1988-01-06,Australia,1.4184397163120568
1988-01-07,Australia,1.4146272457207527
1988-01-08,Australia,1.4168319637291018
1988-01-11,Australia,1.409443269908386
1988-01-12,Australia,1.4084507042253522
1988-01-13,Australia,1.4074595355383532
1988-01-14,Australia,1.4088475626937165
1988-01-15,Australia,1.4245014245014247
1988-01-18,Australia,
1988-01-19,Australia,1.4054813773717498
1988-01-20,Australia,1.3995801259622114
1988-01-21,Australia,1.397624039133473
1988-01-22,Australia,1.400560224089636
1988-01-25,Australia,1.3982102908277405
1988-01-26,Australia,1.4007564084605688
1988-01-27,Australia,1.4013452914798206
1988-01-28,Australia,1.4009526478005043
1988-01-29,Australia,1.4124293785310735
1988-02-01,Australia,1.4100394811054708
1988-02-02,Australia,1.4015416958654519
1988-02-03,Australia,1.4058765640376774
1988-02-04,Australia,1.4072614691809737
1988-02-05,Australia,1.4074595355383532
1988-02-08,Australia,1.4060742407199098
1988-02-09,Australia,1.4088475626937165
1988-02-10,Australia,1.405283867341203
1988-02-11,Australia,1.4015416958654519
1988-02-12,Australia,1.4152278516841212
1988-02-15,Australia,
1988-02-16,Australia,1.400560224089636
1988-02-17,Australia,1.3995801259622114
1988-02-18,Australia,1.398014818957081
1988-02-19,Australia,1.3917884481558802
1988-02-22,Australia,1.3892747985551541
1988-02-23,Australia,1.3906271728549577
1988-02-24,Australia,1.3952839402818473
1988-02-25,Australia,1.3948946854512485
1988-02-26,Australia,1.3908205841446455
1988-02-29,Australia,1.3915947676036737
1988-03-01,Australia,1.3883104262113009
1988-03-02,Australia,1.3835085777531821
1988-03-03,Australia,1.3802622498274673
1988-03-04,Australia,1.3770311209033326
1988-03-07,Australia,1.37211855104281
1988-03-08,Australia,1.3679890560875514
1988-03-09,Australia,1.3726835964310227
1988-03-10,Australia,1.3723068478111706
1988-03-11,Australia,1.3672409078479628
1988-03-14,Australia,1.3713658804168953
1988-03-15,Australia,1.3672409078479628
1988-03-16,Australia,1.3614703880190606
1988-03-17,Australia,1.3623978201634879
1988-03-18,Australia,1.3548299688389107
1988-03-21,Australia,1.3539128080151637
1988-03-22,Australia,1.352813852813853
1988-03-23,Australia,1.349527665317139
1988-03-24,Australia,1.347164219318335
1988-03-25,Australia,1.3540961408259986
1988-03-28,Australia,1.364815067558346
1988-03-29,Australia,1.3598041881968996
1988-03-30,Australia,1.353546291283162
1988-03-31,Australia,1.3491635186184565
1988-04-01,Australia,1.3486176668914363
1988-04-04,Australia,1.3486176668914363
1988-04-05,Australia,1.3478905512872354
1988-04-06,Australia,1.3508037282182899
1988-04-07,Australia,1.35556459265284
1988-04-08,Australia,1.3497098123903362
1988-04-11,Australia,1.3419216317767042
1988-04-12,Australia,1.3458950201884252
1988-04-13,Australia,1.3442667025137787
1988-04-14,Australia,1.3370771493515177
1988-04-15,Australia,1.3377926421404682
1988-04-18,Australia,1.3340448239060831
1988-04-19,Australia,1.3370771493515177
1988-04-20,Australia,1.3312034078807242
1988-04-21,Australia,1.3313806417254694
1988-04-22,Australia,1.322226629644321
1988-04-25,Australia,1.3250298131707963
1988-04-26,Australia,1.3245033112582782
1988-04-27,Australia,1.3250298131707963
1988-04-28,Australia,1.3194352816994326
1988-04-29,Australia,1.3199577613516367
1988-05-02,Australia,1.3147515119642386
1988-05-03,Australia,1.3054830287206267
1988-05-04,Australia,1.2997140629061608
1988-05-05,Australia,1.302761855132882
1988-05-06,Australia,1.3020833333333333
1988-05-09,Australia,1.2971851083149566
1988-05-10,Australia,1.2903225806451613
1988-05-11,Australia,1.2936610608020698
1988-05-12,Australia,1.297016861219196
1988-05-13,Australia,1.29315918789603
1988-05-16,Australia,1.2941633234114145
1988-05-17,Australia,1.3053126223730585
1988-05-18,Australia,1.2980269989615785
1988-05-19,Australia,1.2903225806451613
1988-05-20,Australia,1.2769761205465457
1988-05-23,Australia,1.272264631043257
1988-05-24,Australia,1.2758356723653992
1988-05-25,Australia,1.2674271229404308
1988-05-26,Australia,1.2542330364981813
1988-05-27,Australia,1.2422360248447204
1988-05-30,Australia,
1988-05-31,Australia,1.2467273407305821
1988-06-01,Australia,1.2331976815883587
1988-06-02,Australia,1.2462612163509472
1988-06-03,Australia,1.2399256044637321
1988-06-06,Australia,1.2578616352201257
1988-06-07,Australia,1.253604111821487
1988-06-08,Australia,1.2414649286157666
1988-06-09,Australia,1.240233163834801
1988-06-10,Australia,1.2376237623762376
1988-06-13,Australia,1.246416552411816
1988-06-14,Australia,1.2510947078693857
1988-06-15,Australia,1.2408487405385284
1988-06-16,Australia,1.2391573729863692
1988-06-17,Australia,1.2285012285012287
1988-06-20,Australia,1.218769043266301
1988-06-21,Australia,1.2135922330097089
1988-06-22,Australia,1.224889759921607
1988-06-23,Australia,1.2190661952944044
1988-06-24,Australia,1.2141816415735793
1988-06-27,Australia,1.2254901960784315
1988-06-28,Australia,1.2417732522041476
1988-06-29,Australia,1.2717792191275594
1988-06-30,Australia,1.2586532410320956
1988-07-01,Australia,1.2659830358273199
1988-07-04,Australia,
1988-07-05,Australia,1.2763241863433312
1988-07-06,Australia,1.2550200803212852
1988-07-07,Australia,1.242544731610338
1988-07-08,Australia,1.2554927809165097
1988-07-11,Australia,1.2647021626406982
1988-07-12,Australia,1.260239445494644
1988-07-13,Australia,1.2567550584391103
1988-07-14,Australia,1.2539184952978057
1988-07-15,Australia,1.2714558169103625
1988-07-18,Australia,1.257071024512885
1988-07-19,Australia,1.2465719272001994
1988-07-20,Australia,1.2356357345854443
1988-07-21,Australia,1.2313754463735993
1988-07-22,Australia,1.231678778174652
